email,gender,city,state,last,phone,registered,username,dob,current_ts
lilly.singh@example.com,female,new plymouth,marlborough,singh,(402)-283-4997,936039239,blackleopard556,1229689177,2023-12-10T04:17:40.897+05:30
sophie.jackson@example.com,female,lower hutt,northland,jackson,(490)-226-4698,1256664260,whiteostrich919,52374999,2023-12-10T04:17:40.897+05:30
john.chen@example.com,male,masterton,manawatu-wanganui,chen,(332)-280-0894,1326598363,yellowwolf659,485349409,2023-12-10T04:17:40.897+05:30
luca.walker@example.com,male,christchurch,wellington,walker,(679)-430-8772,1080787928,bluetiger774,197187503,2023-12-10T04:17:40.897+05:30
ava.green@example.com,female,tauranga,waikato,green,(871)-750-9072,978446015,tinyelephant481,285807659,2023-12-10T04:17:40.897+05:30
keira.wilson@example.com,female,new plymouth,otago,wilson,(998)-272-1246,1254440848,bluecat333,534491584,2023-12-10T04:17:40.897+05:30
summer.singh@example.com,female,masterton,hawke's bay,singh,(708)-758-8973,1203484545,goldenpanda648,1177800395,2023-12-10T04:17:40.897+05:30
jasmine.morris@example.com,female,nelson,marlborough,morris,(738)-922-5988,1275697122,greenelephant209,1210218969,2023-12-10T04:17:40.897+05:30
lily.morris@example.com,female,tauranga,tasman,morris,(465)-481-0560,1241615043,crazyleopard529,819787624,2023-12-10T04:17:40.897+05:30
blake.hall@example.com,male,auckland,bay of plenty,hall,(759)-869-1025,1427365956,blackladybug372,54016171,2023-12-10T04:17:40.897+05:30
harriet.harris@example.com,female,invercargill,gisborne,harris,(068)-329-3070,984562286,tinyladybug455,978510708,2023-12-10T04:17:40.897+05:30
amber.li@example.com,female,hamilton,manawatu-wanganui,li,(548)-353-2566,1316143504,beautifulsnake687,1237430135,2023-12-10T04:17:40.897+05:30
kayla.thomas@example.com,female,whanganui,west coast,thomas,(629)-428-8073,1356213080,greenpeacock179,1379206531,2023-12-10T04:17:40.897+05:30
maria.walker@example.com,female,dunedin,gisborne,walker,(473)-012-6991,1233006202,bluewolf946,1253779572,2023-12-10T04:17:40.897+05:30
maria.white@example.com,female,invercargill,nelson,white,(972)-214-4619,1042576802,ticklishcat899,1430498373,2023-12-10T04:17:40.897+05:30
eli.wood@example.com,male,napier,taranaki,wood,(918)-213-5218,1088135671,organicswan322,693462822,2023-12-10T04:17:40.897+05:30
isobel.hall@example.com,female,auckland,taranaki,hall,(967)-749-2492,1257441510,purplegorilla447,1278405446,2023-12-10T04:17:40.897+05:30
blake.walker@example.com,male,dunedin,wellington,walker,(664)-170-3837,1045776050,lazybear343,1105328668,2023-12-10T04:17:40.897+05:30
isabel.turner@example.com,female,gisborne,manawatu-wanganui,turner,(304)-643-4005,1363104791,heavyleopard161,331441548,2023-12-10T04:17:40.897+05:30
paige.thompson@example.com,female,auckland,bay of plenty,thompson,(454)-923-2712,1391868777,tinygorilla620,683614876,2023-12-10T04:17:40.897+05:30
kate.smith@example.com,female,christchurch,auckland,smith,(194)-051-8551,1131634343,heavyleopard747,821912277,2023-12-10T04:17:40.897+05:30
flynn.patel@example.com,male,hamilton,gisborne,patel,(426)-392-0386,1327793064,blackbutterfly292,300683263,2023-12-10T04:17:40.897+05:30
ryan.hughes@example.com,male,napier,northland,hughes,(870)-860-9032,1023169476,redlion469,455068989,2023-12-10T04:17:40.897+05:30
charlotte.morris@example.com,female,auckland,taranaki,morris,(798)-483-6282,1410573014,blacktiger611,1034692133,2023-12-10T04:17:40.897+05:30
madeleine.anderson@example.com,female,christchurch,otago,anderson,(881)-450-0889,1290521083,brownrabbit344,1104543699,2023-12-10T04:17:40.897+05:30
lincoln.green@example.com,male,hastings,bay of plenty,green,(198)-987-4117,1076791560,crazysnake193,1102736695,2023-12-10T04:17:40.897+05:30
anna.wang@example.com,female,masterton,taranaki,wang,(558)-572-1161,1328398086,browncat263,655626666,2023-12-10T04:17:40.897+05:30
arlo.williams@example.com,male,lower hutt,hawke's bay,williams,(156)-262-0129,1008955933,blackswan664,1110849686,2023-12-10T04:17:40.897+05:30
ayla.cooper@example.com,female,masterton,west coast,cooper,(735)-585-7309,1378669273,crazydog797,79194072,2023-12-10T04:17:40.897+05:30
chloe.moore@example.com,female,timaru,west coast,moore,(063)-336-3824,1315131349,yellowbird652,101092030,2023-12-10T04:17:40.897+05:30
ayla.moore@example.com,female,rotorua,marlborough,moore,(125)-239-3464,1080388146,beautifultiger270,940027423,2023-12-10T04:17:40.897+05:30
aiden.clarke@example.com,male,new plymouth,auckland,clarke,(751)-246-1400,924666787,silverbutterfly284,951034611,2023-12-10T04:17:40.897+05:30
charlotte.edwards@example.com,female,new plymouth,hawke's bay,edwards,(446)-463-0615,1413771447,heavylion843,26078291,2023-12-10T04:17:40.897+05:30
brooklyn.lee@example.com,female,blenheim,manawatu-wanganui,lee,(907)-211-7616,1046559396,heavypeacock558,495831270,2023-12-10T04:17:40.897+05:30
dylan.harris@example.com,male,upper hutt,nelson,harris,(003)-960-8285,1360225325,crazypeacock688,876056666,2023-12-10T04:17:40.897+05:30
ava.walker@example.com,female,gisborne,northland,walker,(285)-359-8366,969711637,crazyrabbit577,286235370,2023-12-10T04:17:40.897+05:30
max.hughes@example.com,male,blenheim,bay of plenty,hughes,(313)-037-5841,1128234601,purpleswan951,1234795300,2023-12-10T04:17:40.897+05:30
natalie.edwards@example.com,female,masterton,tasman,edwards,(802)-492-2130,1249550515,lazyfish714,853618861,2023-12-10T04:17:40.897+05:30
lilly.kumar@example.com,female,christchurch,tasman,kumar,(419)-992-7599,1022716970,redlion104,97311260,2023-12-10T04:17:40.897+05:30
ellie.anderson@example.com,female,napier,auckland,anderson,(114)-698-5161,935222750,smallbird312,257507631,2023-12-10T04:17:40.897+05:30
marcus.evans@example.com,male,timaru,gisborne,evans,(163)-080-3308,1186361707,heavyladybug349,850848251,2023-12-10T04:17:40.897+05:30
amelia.moore@example.com,female,timaru,northland,moore,(566)-618-7142,1099262039,crazyostrich800,198828735,2023-12-10T04:17:40.897+05:30
sofia.king@example.com,female,palmerston north,otago,king,(255)-238-9584,1251330190,bigleopard220,526834639,2023-12-10T04:17:40.897+05:30
leah.singh@example.com,female,dunedin,bay of plenty,singh,(914)-179-5130,1014348270,whitefrog787,861718235,2023-12-10T04:17:40.897+05:30
georgia.chen@example.com,female,invercargill,nelson,chen,(309)-905-4805,1273340503,bigdog256,785813199,2023-12-10T04:17:40.897+05:30
cohen.cooper@example.com,male,upper hutt,tasman,cooper,(779)-750-2295,961854044,organicsnake183,263869561,2023-12-10T04:17:40.897+05:30
savannah.martin@example.com,female,masterton,gisborne,martin,(737)-804-3511,1177826012,tinyelephant798,269625889,2023-12-10T04:17:40.897+05:30
isobel.johnson@example.com,female,tauranga,canterbury,johnson,(670)-218-3975,1117985337,crazyswan597,426903089,2023-12-10T04:17:40.897+05:30
sienna.smith@example.com,female,porirua,northland,smith,(671)-113-9532,1125544141,whitemouse931,908318755,2023-12-10T04:17:40.897+05:30
piper.wilson@example.com,female,hastings,southland,wilson,(942)-836-1668,1270819045,silverfrog873,22033830,2023-12-10T04:17:40.897+05:30
flynn.thomas@example.com,male,nelson,hawke's bay,thomas,(645)-139-5592,1090509548,purplefrog204,788623675,2023-12-10T04:17:40.897+05:30
charlotte.chen@example.com,female,lower hutt,canterbury,chen,(614)-012-8446,1419040744,silverdog467,654782648,2023-12-10T04:17:40.897+05:30
nevaeh.harris@example.com,female,blenheim,northland,harris,(714)-613-8664,1240861593,ticklishpanda214,367712479,2023-12-10T04:17:40.897+05:30
michael.turner@example.com,male,hamilton,hawke's bay,turner,(411)-515-1152,1001496609,tinytiger950,762379681,2023-12-10T04:17:40.897+05:30
kayla.chen@example.com,female,dunedin,manawatu-wanganui,chen,(935)-451-0587,1217604430,bluecat125,1286103622,2023-12-10T04:17:40.897+05:30
ava.walker@example.com,female,rotorua,manawatu-wanganui,walker,(538)-614-6665,1388728861,lazyrabbit737,1104384286,2023-12-10T04:17:40.897+05:30
nathan.jones@example.com,male,wellington,bay of plenty,jones,(902)-926-6253,1353690194,smallpanda608,948290239,2023-12-10T04:17:40.897+05:30
naomi.harris@example.com,female,whangarei,manawatu-wanganui,harris,(576)-234-0866,1285416814,beautifulpanda769,1409397357,2023-12-10T04:17:40.897+05:30
dylan.morris@example.com,male,whangarei,marlborough,morris,(262)-867-4474,1255349229,beautifulwolf888,1112492252,2023-12-10T04:17:40.897+05:30
addison.turner@example.com,female,timaru,waikato,turner,(325)-313-2970,1229026809,greenlion216,510538427,2023-12-10T04:17:40.897+05:30
john.chen@example.com,male,greymouth,marlborough,chen,(726)-993-6302,1162201902,bigduck800,773866993,2023-12-10T04:17:40.897+05:30
aurora.white@example.com,female,dunedin,waikato,white,(512)-224-6483,1001286605,heavyostrich734,1076318317,2023-12-10T04:17:40.897+05:30
aria.williams@example.com,female,nelson,wellington,williams,(060)-510-8393,1297297347,silverlion350,128538088,2023-12-10T04:17:40.897+05:30
mackenzie.thomas@example.com,female,hamilton,taranaki,thomas,(046)-605-1563,1277049000,beautifulbutterfly899,64250155,2023-12-10T04:17:40.897+05:30
